,label
270569,0
366213,0
281565,2
18473,0
73496,1
201524,0
364366,3
276080,4
34823,1
119193,0
319983,1
405699,0
364450,1
22231,0
337689,1
411573,4
337239,1
238106,1
414425,3
290456,3
257171,0
187328,0
406763,4
369318,2
236333,1
13464,1
328719,1
89916,3
104562,0
38797,1
44705,0
169699,0
13320,1
199139,1
42052,2
33109,2
342073,3
272722,1
41287,0
321127,3
185654,0
393622,0
105173,4
300801,3
182544,2
286379,0
97636,3
364417,3
219763,4
66832,1
60824,3
190810,5
237922,1
415468,4
69288,0
220359,3
332992,1
388721,4
88589,1
285906,1
240948,0
304230,4
410573,1
164672,1
400767,1
91126,3
366925,4
273318,0
151099,1
310383,1
334731,1
365695,1
219852,0
307134,1
255220,1
243110,3
147834,3
15090,1
14132,1
347333,4
228242,3
11189,0
165697,3
271822,4
345895,1
277655,0
372585,1
216610,1
102982,1
22829,2
249046,3
9786,2
229841,0
225735,1
97953,0
199564,0
75500,1
20621,4
263108,2
393963,0
273157,1
403550,0
140444,1
116497,1
280804,1
44489,0
284353,1
9030,1
107215,3
265899,4
23671,1
414044,1
148403,1
389144,0
397396,1
23676,3
230008,0
231509,1
342188,4
4531,1
242279,1
399391,0
283314,1
65778,1
337023,0
130913,3
239729,3
391044,0
326561,2
309738,1
134495,3
310893,3
93685,1
410129,1
394961,2
374831,0
183909,1
37386,3
362946,1
245718,0
383613,1
254756,1
269687,0
403383,4
38207,0
16984,0
267330,1
21630,1
323790,1
35548,2
168238,3
21043,1
406152,1
151734,1
292576,1
26427,3
145665,0
29068,4
32503,1
102541,0
378764,3
367297,3
181214,2
63351,0
150737,0
121634,0
183856,3
330551,0
66799,1
264654,4
56439,0
101299,3
108354,1
71695,1
42440,3
311148,1
87675,1
396848,4
321953,1
158460,0
20262,0
8060,4
319548,4
107373,1
257056,0
52611,3
391624,1
72248,1
292174,4
105232,0
45667,3
12331,4
11400,1
228201,3
169298,1
115119,0
355911,4
282716,1
171325,1
273829,4
73547,0
331407,3
295704,0
257122,0
413486,1
334750,5
105739,4
103684,0
196499,3
367065,3
198572,0
399433,3
